11
1,P,123456789090, 2017-06-12 09:56ÿ,QWASASWQSAWQ,aaaaaaasssss,PES ,,10,1,By Detecting,2012,2000,,,24,,6000,22,Cartridge,,15,ADMIN,7,1639,2020,2016,2014,2011,2007,2004,2004,1998,1998,1994,1992,1990,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,qqqqqqqqq, 2017-06-12 10:32ÿ,111222334556,QQQQWEWESSA,PES ,Water,10,1,By Detecting,2800,,1725,300,158,,6000,22,Cartridge,,24,ADMIN,91,91,473,2454,2591,2586,2581,2579,,,650,869,2760,2810,2804,2798,2793,2788,2780,2776,2771,2769,2761,2759,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,qqqqqqqqq, 2017-06-12 10:51ÿ,111222334556,QQQQWEWESSA,PES ,Water,10,1,By Detecting,2800,,1722,300,158,,6000,22,Cartridge,,24,ADMIN,97,97,492,2527,2590,2584,2578,2577,,,650,1416,2778,2810,2803,2798,2792,2787,2782,2777,2773,2768,2763,2761,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,d,, 2017-06-12 11:09ÿ,,,PES ,IPA,200,,By Detecting,2800,,1725,300,166,,314,300,Panel,,18,ADMIN,55,113,2482,2616,97,,645,655,2488,2814,2807,2802,2796,2790,2785,2780,2776,2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,, 2017-06-12 11:22ÿ,1221212AAAA,56yyu,PES ,Water,10,1,By Detecting,2800,3400,1730,300,175,3555,6000,22,Cartridge,,30,ADMIN,55,56,463,2500,2620,2614,2610,2607,,,656,658,2725,2813,2804,2800,2794,2790,2783,2777,2772,2768,2764,2790,2986,3186,3387,3372,3571,3571,,,,,,,,,,,,,,,,,,,,,
6,B,, 2017-06-12 11:38ÿ,,,PES ,Water,10,1,By Detecting,2800,3400,1725,300,,3579,6000,22,Cartridge,,20,ADMIN,55,54,464,2497,2592,2584,2581,2577,,,649,1701,2771,2789,2803,3011,3214,3413,3613,3597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,, 2017-06-12 13:03ÿ,,,PES ,Enthano,20,1,By Detecting,1000,1600,3710,600,,2018,12000,1,Cartridge,,10,ADMIN,59,750,819,817,1400,1614,1609,1650,2044,2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,M,AAAA-00988, 2017-06-12 13:08ÿ,,67890,PES ,,10,1,By Detecting,2800,3400,,,,5818,6000,22,Cartridge,,7,ADMIN,66,2504,2804,3539,4661,5591,5818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,d,, 2017-06-12 13:16ÿ,,,PES ,Water,5,1,By Detecting,1000,,1756,300,50,,3000,200,Cartridge,,21,ADMIN,64,65,526,817,815,813,,,204,218,1011,1031,1029,1029,1025,1023,1023,1020,1019,1018,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,, 2017-06-12 13:29ÿ,,,PES ,Water,10,1,By Detecting,2800,3400,1826,300,,4460,6000,22,Cartridge,,18,ADMIN,57,2320,2597,2591,2954,3396,3381,3392,3592,3788,3984,3961,4171,4367,4333,4481,4452,4449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,H,yueyue, 2017-06-12 14:03ÿ,213su,,PTFE,Water,10,1,By Detecting,2500,,101,1500,10,,6000,22,Cartridge,,41,ADMIN,1,1,2243,2311,2298,2289,2283,,,3,1967,1968,2140,2520,2510,2505,2496,2490,2486,2482,2477,2476,2472,2470,2464,2460,2458,2456,2452,2448,2446,2444,2441,2440,2435,2436,2433,2430,2428,2422,2423,,,,,,,,,,
